name,artist,release_date,popularity,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Sunday Morning,Maroon 5,2002,76,5qII2n90lVdPDcgXEEVHNy,['pop'],0.608,0.768,0,-5.227,1,0.0475,0.0913,0.0,0.0629,0.809,88.059,audio_features,spotify:track:5qII2n90lVdPDcgXEEVHNy,https://api.spotify.com/v1/tracks/5qII2n90lVdPDcgXEEVHNy,https://api.spotify.com/v1/audio-analysis/5qII2n90lVdPDcgXEEVHNy,244880,4
Are You That Somebody,Aaliyah,2002-12-10,71,3PqAnW2bB5TQnMoBivyFOb,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",0.85,0.657,9,-7.078,0,0.166,0.14,0.0192,0.0939,0.843,137.971,audio_features,spotify:track:3PqAnW2bB5TQnMoBivyFOb,https://api.spotify.com/v1/tracks/3PqAnW2bB5TQnMoBivyFOb,https://api.spotify.com/v1/audio-analysis/3PqAnW2bB5TQnMoBivyFOb,265667,4
A Thousand Miles,Vanessa Carlton,2002-04-30,78,4w1lzcaoZ1IC2K5TwjalRP,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,audio_features,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,237493,4
Obsesion,Aventura,2002-06-01,77,65H6t1WQBim6q93yM8fEwn,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",0.804,0.56,1,-6.912,0,0.0397,0.416,0.0,0.0608,0.768,133.682,audio_features,spotify:track:65H6t1WQBim6q93yM8fEwn,https://api.spotify.com/v1/tracks/65H6t1WQBim6q93yM8fEwn,https://api.spotify.com/v1/audio-analysis/65H6t1WQBim6q93yM8fEwn,254720,4
When I'm Gone,3 Doors Down,2002-11-12,71,3WbphvawbMZ8FyqDxYGdSQ,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",0.53,0.768,7,-5.611,1,0.0284,0.00385,0.0,0.103,0.374,148.095,audio_features,spotify:track:3WbphvawbMZ8FyqDxYGdSQ,https://api.spotify.com/v1/tracks/3WbphvawbMZ8FyqDxYGdSQ,https://api.spotify.com/v1/audio-analysis/3WbphvawbMZ8FyqDxYGdSQ,260333,4
No One Knows,Queens of the Stone Age,2002,69,6NvRxjfYkkT2SpirAlmsjH,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889,audio_features,spotify:track:6NvRxjfYkkT2SpirAlmsjH,https://api.spotify.com/v1/tracks/6NvRxjfYkkT2SpirAlmsjH,https://api.spotify.com/v1/audio-analysis/6NvRxjfYkkT2SpirAlmsjH,278707,4
Drift Away,Uncle Kracker,2002-07-09,69,0RFgvrhkf9FiDRLA0BhzpZ,"['country', 'pop rock', 'post-grunge']",0.583,0.66,11,-5.078,1,0.0377,0.181,0.0,0.0979,0.861,151.956,audio_features,spotify:track:0RFgvrhkf9FiDRLA0BhzpZ,https://api.spotify.com/v1/tracks/0RFgvrhkf9FiDRLA0BhzpZ,https://api.spotify.com/v1/audio-analysis/0RFgvrhkf9FiDRLA0BhzpZ,255560,4
Cry Me a River,Justin Timberlake,2002-11-04,77,7Lf7oSEVdzZqTA0kEDSlS5,"['dance pop', 'pop']",0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,audio_features,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5,288333,4
Don't Know Why,Norah Jones,2002-02-26,77,1zNXF2svmdlNxfS5XeNUgr,"['contemporary vocal jazz', 'jazz pop', 'vocal jazz']",0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,audio_features,spotify:track:1zNXF2svmdlNxfS5XeNUgr,https://api.spotify.com/v1/tracks/1zNXF2svmdlNxfS5XeNUgr,https://api.spotify.com/v1/audio-analysis/1zNXF2svmdlNxfS5XeNUgr,186251,4
Beer For My Horses,Toby Keith,2002-01-01,69,7E2DqvnVtbIrFrL5X6YH9Q,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",0.717,0.85,10,-5.329,1,0.0473,0.368,0.0,0.0495,0.805,119.005,audio_features,spotify:track:7E2DqvnVtbIrFrL5X6YH9Q,https://api.spotify.com/v1/tracks/7E2DqvnVtbIrFrL5X6YH9Q,https://api.spotify.com/v1/audio-analysis/7E2DqvnVtbIrFrL5X6YH9Q,204000,4
Hurt,Johnny Cash,2002-01-01,74,28cnXtME493VX9NOw9cIUh,"['arkansas country', 'outlaw country', 'rock']",0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,audio_features,spotify:track:28cnXtME493VX9NOw9cIUh,https://api.spotify.com/v1/tracks/28cnXtME493VX9NOw9cIUh,https://api.spotify.com/v1/audio-analysis/28cnXtME493VX9NOw9cIUh,216533,4
Still Waiting,Sum 41,2002-01-01,67,2OMqSRS11ly56zg9u5za6c,"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rock']",0.431,0.95,7,-4.918,1,0.26,0.00105,3.63e-05,0.272,0.56,191.936,audio_features,spotify:track:2OMqSRS11ly56zg9u5za6c,https://api.spotify.com/v1/tracks/2OMqSRS11ly56zg9u5za6c,https://api.spotify.com/v1/audio-analysis/2OMqSRS11ly56zg9u5za6c,158733,4
All My Life,Foo Fighters,2002-10-22,74,6tsojOQ5wHaIjKqIryLZK6,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,audio_features,spotify:track:6tsojOQ5wHaIjKqIryLZK6,https://api.spotify.com/v1/tracks/6tsojOQ5wHaIjKqIryLZK6,https://api.spotify.com/v1/audio-analysis/6tsojOQ5wHaIjKqIryLZK6,263440,4
About A Girl,Nirvana,2002-10-29,74,55yvzYuvJYG2RUEnMK78tr,"['grunge', 'permanent wave', 'rock']",0.409,0.932,11,-4.538,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761,audio_features,spotify:track:55yvzYuvJYG2RUEnMK78tr,https://api.spotify.com/v1/tracks/55yvzYuvJYG2RUEnMK78tr,https://api.spotify.com/v1/audio-analysis/55yvzYuvJYG2RUEnMK78tr,166640,4
Sing For The Moment,Eminem,2002-05-26,78,3CpoeW0cZSDzIRv5z34F87,"['detroit hip hop', 'hip hop', 'rap']",0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,audio_features,spotify:track:3CpoeW0cZSDzIRv5z34F87,https://api.spotify.com/v1/tracks/3CpoeW0cZSDzIRv5z34F87,https://api.spotify.com/v1/audio-analysis/3CpoeW0cZSDzIRv5z34F87,339547,4
"Swing, Swing",The All-American Rejects,2002-10-15,68,003FTlCpBTM4eSqYSWPv4H,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,audio_features,spotify:track:003FTlCpBTM4eSqYSWPv4H,https://api.spotify.com/v1/tracks/003FTlCpBTM4eSqYSWPv4H,https://api.spotify.com/v1/audio-analysis/003FTlCpBTM4eSqYSWPv4H,233267,4
Somebody Like You,Keith Urban,2002-01-01,70,0b9djfiuDIMw1zKH6gV74g,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road', 'modern country rock']",0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02,audio_features,spotify:track:0b9djfiuDIMw1zKH6gV74g,https://api.spotify.com/v1/tracks/0b9djfiuDIMw1zKH6gV74g,https://api.spotify.com/v1/audio-analysis/0b9djfiuDIMw1zKH6gV74g,323040,4
Send the Pain Below,Chevelle,2002,67,6dRAAG4sB71NAtVCHJep7s,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge']",0.468,0.851,11,-3.617,1,0.0398,0.000281,0.00483,0.0644,0.293,92.079,audio_features,spotify:track:6dRAAG4sB71NAtVCHJep7s,https://api.spotify.com/v1/tracks/6dRAAG4sB71NAtVCHJep7s,https://api.spotify.com/v1/audio-analysis/6dRAAG4sB71NAtVCHJep7s,252360,4
Fine Again,Seether,2002-01-01,67,4eTIe5eqds88bA9ua6p5p6,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']",0.442,0.855,6,-2.985,0,0.0288,0.00049,0.0137,0.273,0.363,175.543,audio_features,spotify:track:4eTIe5eqds88bA9ua6p5p6,https://api.spotify.com/v1/tracks/4eTIe5eqds88bA9ua6p5p6,https://api.spotify.com/v1/audio-analysis/4eTIe5eqds88bA9ua6p5p6,243640,4
By the Way,Red Hot Chili Peppers,2002-07-09,77,1f2V8U1BiWaC9aJWmpOARe,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,audio_features,spotify:track:1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/tracks/1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/audio-analysis/1f2V8U1BiWaC9aJWmpOARe,216933,4
Cleanin' Out My Closet,Eminem,2002-05-26,74,7BMO7O7ImjV8HNTH74Tshv,"['detroit hip hop', 'hip hop', 'rap']",0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,audio_features,spotify:track:7BMO7O7ImjV8HNTH74Tshv,https://api.spotify.com/v1/tracks/7BMO7O7ImjV8HNTH74Tshv,https://api.spotify.com/v1/audio-analysis/7BMO7O7ImjV8HNTH74Tshv,297840,4
Still Fly,Big Tymers,2002-01-01,66,563vSy3HB5NHxel1VGQCW6,"['crunk', 'dirty south rap', 'new orleans rap']",0.675,0.607,11,-3.538,1,0.162,0.0302,8.97e-06,0.339,0.56,177.928,audio_features,spotify:track:563vSy3HB5NHxel1VGQCW6,https://api.spotify.com/v1/tracks/563vSy3HB5NHxel1VGQCW6,https://api.spotify.com/v1/audio-analysis/563vSy3HB5NHxel1VGQCW6,335613,4
Es Por Ti,Juanes,2002-01-01,80,3b1IQflSLrgzYQPGFzI9cl,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']",0.696,0.758,4,-6.076,1,0.0264,0.17,3.33e-05,0.189,0.859,129.943,audio_features,spotify:track:3b1IQflSLrgzYQPGFzI9cl,https://api.spotify.com/v1/tracks/3b1IQflSLrgzYQPGFzI9cl,https://api.spotify.com/v1/audio-analysis/3b1IQflSLrgzYQPGFzI9cl,250693,4
All The Things She Said,t.A.T.u.,2002,77,4bJygwUKrRgq1stlNXcgMg,"['dance pop', 'girl group']",0.603,0.834,5,-5.766,0,0.0417,0.0411,0.00609,0.105,0.376,89.957,audio_features,spotify:track:4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/tracks/4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/audio-analysis/4bJygwUKrRgq1stlNXcgMg,214440,4
Cute Without The 'E' (Cut From The Team) - Remastered,Taking Back Sunday,2002-03-26,67,6OyKBwLzq4h15XmxeWf5n4,"['emo', 'pop punk', 'screamo']",0.398,0.89,1,-2.248,0,0.0473,0.0252,0.0,0.0472,0.572,95.095,audio_features,spotify:track:6OyKBwLzq4h15XmxeWf5n4,https://api.spotify.com/v1/tracks/6OyKBwLzq4h15XmxeWf5n4,https://api.spotify.com/v1/audio-analysis/6OyKBwLzq4h15XmxeWf5n4,212938,4
Guatauba,Plan B,2002-05-10,76,0xJFWROBNTBL4sKEuA5pm6,"['reggaeton', 'trap latino', 'urbano latino']",0.804,0.745,4,-5.963,0,0.229,0.00849,0.000942,0.0378,0.635,183.985,audio_features,spotify:track:0xJFWROBNTBL4sKEuA5pm6,https://api.spotify.com/v1/tracks/0xJFWROBNTBL4sKEuA5pm6,https://api.spotify.com/v1/audio-analysis/0xJFWROBNTBL4sKEuA5pm6,162400,4
Ven Porque Te Necesito,Los Temerarios,2002-01-01,74,4MNfkZ8dtva3cjJ2biqnDS,"['grupera', 'musica mexicana', 'ranchera']",0.596,0.573,2,-7.452,1,0.0285,0.192,0.0,0.0881,0.417,78.554,audio_features,spotify:track:4MNfkZ8dtva3cjJ2biqnDS,https://api.spotify.com/v1/tracks/4MNfkZ8dtva3cjJ2biqnDS,https://api.spotify.com/v1/audio-analysis/4MNfkZ8dtva3cjJ2biqnDS,175013,4
Work It,Missy Elliott,2002-11-11,70,3jagJCUbdqhDSPuxP8cAqF,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",0.884,0.677,1,-5.603,1,0.283,0.0778,0.0,0.0732,0.584,101.868,audio_features,spotify:track:3jagJCUbdqhDSPuxP8cAqF,https://api.spotify.com/v1/tracks/3jagJCUbdqhDSPuxP8cAqF,https://api.spotify.com/v1/audio-analysis/3jagJCUbdqhDSPuxP8cAqF,263227,4
Seven Nation Army,The White Stripes,2003-04-01,85,3dPQuX8Gs42Y7b454ybpMR,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4
Hey Ya!,Outkast,2003,83,2PpruBYCo4H7WOBJ7Q2EwM,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,audio_features,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,235213,4
Numb,Linkin Park,2003-03-24,86,2nLtzopw4rPReszdYBJU6h,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,audio_features,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4
In Da Club,50 Cent,2003-02-06,76,4RY96Asd9IefaL3X4LOLZ8,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059,audio_features,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467,4
Bring Me To Life,Evanescence,2003-03-04,84,0COqiPhxzoWICwFCS4eZcp,['alternative metal'],0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,audio_features,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893,4
Crazy In Love (feat. Jay-Z),Beyoncé,2003-06-24,80,5IVuqXILoxVWvWEPm82Jxr,"['pop', 'r&b']",0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4
Toxic,Britney Spears,2003-11-13,83,6I9VzXrHxO9rA9A5euc8Ak,"['dance pop', 'pop']",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,audio_features,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,198800,4
Dile,Don Omar,2003-01-01,83,69Ej1xrGjOcHvIMtMKxK0G,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,audio_features,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,https://api.spotify.com/v1/tracks/69Ej1xrGjOcHvIMtMKxK0G,https://api.spotify.com/v1/audio-analysis/69Ej1xrGjOcHvIMtMKxK0G,204600,4
21 Questions,50 Cent,2003-02-06,75,41bIQPBE1lFN0mmw6Lmssz,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,audio_features,spotify:track:41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/tracks/41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/audio-analysis/41bIQPBE1lFN0mmw6Lmssz,224427,4
Ocean Avenue,Yellowcard,2003-01-01,75,23oxJmDc1V9uLUSmN2LIvx,"['alternative metal', 'pop punk', 'post-grunge', 'socal pop punk']",0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,audio_features,spotify:track:23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/tracks/23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/audio-analysis/23oxJmDc1V9uLUSmN2LIvx,198267,4
I Miss You,blink-182,2003-01-01,72,1oTo3ijRbaDAtrjJrGAPSw,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,audio_features,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,https://api.spotify.com/v1/tracks/1oTo3ijRbaDAtrjJrGAPSw,https://api.spotify.com/v1/audio-analysis/1oTo3ijRbaDAtrjJrGAPSw,227240,4
Many Men (Wish Death),50 Cent,2003-02-06,73,2I9foKseoFQh07p6sD2voE,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,audio_features,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/audio-analysis/2I9foKseoFQh07p6sD2voE,256227,5
If I Ain't Got You,Alicia Keys,2003-12-02,81,3XVBdLihbNbxUwZosxcGuJ,"['neo soul', 'pop', 'r&b']",0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,audio_features,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707,3
I Hate Everything About You,Three Days Grace,2003-04-19,76,0M955bMOoilikPXwKLYpoi,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",0.498,0.83,6,-5.157,0,0.0421,0.00461,0.0,0.139,0.453,89.342,audio_features,spotify:track:0M955bMOoilikPXwKLYpoi,https://api.spotify.com/v1/tracks/0M955bMOoilikPXwKLYpoi,https://api.spotify.com/v1/audio-analysis/0M955bMOoilikPXwKLYpoi,231480,4
The Reason,Hoobastank,2003-12-09,82,77loZpT5Y5PRP1S451P9Yz,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge']",0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,audio_features,spotify:track:77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/tracks/77loZpT5Y5PRP1S451P9Yz,https://api.spotify.com/v1/audio-analysis/77loZpT5Y5PRP1S451P9Yz,232800,4
Faint,Linkin Park,2003-03-24,81,4Yf5bqU3NK4kNOypcrLYwU,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,audio_features,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/tracks/4Yf5bqU3NK4kNOypcrLYwU,https://api.spotify.com/v1/audio-analysis/4Yf5bqU3NK4kNOypcrLYwU,162600,4
Stacy's Mom,Fountains Of Wayne,2003-01-01,75,27L8sESb3KR79asDUBu8nW,"['pop rock', 'power pop']",0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,audio_features,spotify:track:27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,197987,4
Pa' Que Retozen,Tego Calderón,2003-07-01,82,5YJ4BVvTFmVCxUyhKejHfR,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']",0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,audio_features,spotify:track:5YJ4BVvTFmVCxUyhKejHfR,https://api.spotify.com/v1/tracks/5YJ4BVvTFmVCxUyhKejHfR,https://api.spotify.com/v1/audio-analysis/5YJ4BVvTFmVCxUyhKejHfR,151667,4
Suga Suga,Baby Bash,2003-01-01,74,6Nq5lE0CeOAAAqN4qhkbZU,"['chicano rap', 'latin hip hop', 'pop rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']",0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,audio_features,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/tracks/6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/audio-analysis/6Nq5lE0CeOAAAqN4qhkbZU,239027,4
What Was I Thinkin',Dierks Bentley,2003-01-01,71,0r8iDf65NHgFgZOGLwj5r8,"['contemporary country', 'country', 'country road', 'modern country rock']",0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857,audio_features,spotify:track:0r8iDf65NHgFgZOGLwj5r8,https://api.spotify.com/v1/tracks/0r8iDf65NHgFgZOGLwj5r8,https://api.spotify.com/v1/audio-analysis/0r8iDf65NHgFgZOGLwj5r8,260827,4
Reptilia,The Strokes,2003-10-28,77,57Xjny5yNzAcsxnusKmAfA,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,audio_features,spotify:track:57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/tracks/57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/audio-analysis/57Xjny5yNzAcsxnusKmAfA,219827,4
Closing Time,Semisonic,2003-01-01,74,1A5V1sxyCLpKJezp75tUXn,"['pop rock', 'post-grunge']",0.478,0.854,7,-5.454,1,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,audio_features,spotify:track:1A5V1sxyCLpKJezp75tUXn,https://api.spotify.com/v1/tracks/1A5V1sxyCLpKJezp75tUXn,https://api.spotify.com/v1/audio-analysis/1A5V1sxyCLpKJezp75tUXn,274160,4
Are You Gonna Be My Girl,Jet,2003-09-15,77,305WCRhhS10XUcH6AEwZk6,"['garage rock', 'modern rock', 'pop rock']",0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,audio_features,spotify:track:305WCRhhS10XUcH6AEwZk6,https://api.spotify.com/v1/tracks/305WCRhhS10XUcH6AEwZk6,https://api.spotify.com/v1/audio-analysis/305WCRhhS10XUcH6AEwZk6,213800,4
I Stand Alone,Godsmack,2003-04-08,69,44NRdYQw7P0GWuiunRv3hr,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",0.217,0.92,8,-4.479,1,0.0628,2.86e-05,0.0,0.102,0.376,167.169,audio_features,spotify:track:44NRdYQw7P0GWuiunRv3hr,https://api.spotify.com/v1/tracks/44NRdYQw7P0GWuiunRv3hr,https://api.spotify.com/v1/audio-analysis/44NRdYQw7P0GWuiunRv3hr,246040,4
P.I.M.P.,50 Cent,2003-02-06,70,2D1hlMwWWXpkc3CZJ5U351,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,audio_features,spotify:track:2D1hlMwWWXpkc3CZJ5U351,https://api.spotify.com/v1/tracks/2D1hlMwWWXpkc3CZJ5U351,https://api.spotify.com/v1/audio-analysis/2D1hlMwWWXpkc3CZJ5U351,249467,4
The Way You Move,Outkast,2003,70,5z7mYFfhw6N6f23VwrokJD,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999,audio_features,spotify:track:5z7mYFfhw6N6f23VwrokJD,https://api.spotify.com/v1/tracks/5z7mYFfhw6N6f23VwrokJD,https://api.spotify.com/v1/audio-analysis/5z7mYFfhw6N6f23VwrokJD,234000,4
Where Is The Love?,Black Eyed Peas,2003-06-24,81,0xmjwnQ3FNE6HuWCt2nHdZ,"['dance pop', 'pop', 'pop rap']",0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,audio_features,spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ,https://api.spotify.com/v1/tracks/0xmjwnQ3FNE6HuWCt2nHdZ,https://api.spotify.com/v1/audio-analysis/0xmjwnQ3FNE6HuWCt2nHdZ,272533,4
Somewhere I Belong,Linkin Park,2003-03-24,69,3agtg0x11wPvLIWkYR39nZ,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,audio_features,spotify:track:3agtg0x11wPvLIWkYR39nZ,https://api.spotify.com/v1/tracks/3agtg0x11wPvLIWkYR39nZ,https://api.spotify.com/v1/audio-analysis/3agtg0x11wPvLIWkYR39nZ,213933,4
Lying from You,Linkin Park,2003-03-24,67,3BmjRmFTESgWZLPSVGp8aG,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",0.535,0.951,3,-3.324,0,0.18,0.00777,0.0,0.0669,0.723,160.102,audio_features,spotify:track:3BmjRmFTESgWZLPSVGp8aG,https://api.spotify.com/v1/tracks/3BmjRmFTESgWZLPSVGp8aG,https://api.spotify.com/v1/audio-analysis/3BmjRmFTESgWZLPSVGp8aG,175373,4
